trajectory,time,lon,lat
794,2025-12-29 07:01:00,133.04555,32.956337
794,2025-12-29 07:11:00,133.04604,32.956448
794,2025-12-29 07:21:00,133.04652,32.956554
794,2025-12-29 07:31:00,133.04698,32.95666
794,2025-12-29 07:41:00,133.04744,32.956764
794,2025-12-29 07:51:00,133.04788,32.956867
794,2025-12-29 08:01:00,133.04831,32.956966
794,2025-12-29 08:11:00,133.04874,32.95706
794,2025-12-29 08:21:00,133.04915,32.957157
794,2025-12-29 08:31:00,133.04955,32.95725
794,2025-12-29 08:41:00,133.04994,32.957336
794,2025-12-29 08:51:00,133.05032,32.957424
794,2025-12-29 09:01:00,133.0507,32.957504
794,2025-12-29 09:11:00,133.05109,32.957584
794,2025-12-29 09:21:00,133.05145,32.957645
794,2025-12-29 09:31:00,133.05183,32.957695
794,2025-12-29 09:41:00,133.0522,32.957726
794,2025-12-29 09:51:00,133.05257,32.957745
794,2025-12-29 10:01:00,133.05293,32.957745
794,2025-12-29 10:11:00,133.0533,32.95773
794,2025-12-29 10:21:00,133.05367,32.9577
794,2025-12-29 10:31:00,133.05402,32.957653
794,2025-12-29 10:41:00,133.05437,32.957592
794,2025-12-29 10:51:00,133.05472,32.95751
794,2025-12-29 11:01:00,133.05507,32.95742
794,2025-12-29 11:11:00,133.05542,32.95731
794,2025-12-29 11:21:00,133.05576,32.957184
794,2025-12-29 11:31:00,133.05609,32.957047
794,2025-12-29 11:41:00,133.05643,32.95689
794,2025-12-29 11:51:00,133.05675,32.956722
794,2025-12-29 12:01:00,133.05708,32.95654
794,2025-12-29 12:11:00,133.0574,32.95634
794,2025-12-29 12:21:00,133.05772,32.956127
794,2025-12-29 12:31:00,133.05806,32.955902
794,2025-12-29 12:41:00,133.0584,32.95566
794,2025-12-29 12:51:00,133.05873,32.955406
794,2025-12-29 13:01:00,133.05907,32.955135
794,2025-12-29 13:11:00,133.05942,32.954853
794,2025-12-29 13:21:00,133.05977,32.954556
794,2025-12-29 13:31:00,133.06012,32.954243
794,2025-12-29 13:41:00,133.06047,32.95392
794,2025-12-29 13:51:00,133.06084,32.95358
794,2025-12-29 14:01:00,133.0612,32.953224
794,2025-12-29 14:11:00,133.06157,32.952858
794,2025-12-29 14:21:00,133.06195,32.952477
794,2025-12-29 14:31:00,133.06233,32.95208
794,2025-12-29 14:41:00,133.06271,32.95167
794,2025-12-29 14:51:00,133.06311,32.95125
794,2025-12-29 15:01:00,133.0635,32.95081
794,2025-12-29 15:11:00,133.0639,32.95036
794,2025-12-29 15:21:00,133.06433,32.94991
794,2025-12-29 15:31:00,133.06476,32.949455
